region,year,wastewater,chemical oxygen,ammonia nitrogen,so,no,smoke and powder,gdp
北京市,1998,87354,,,30.5115,,21.6313,2377.18
天津市,1998,41884,,,22.9857,,12.3058,1374.6
河北省,1998,160343,,,140.2984,,203.8164,4256.01
山西省,1998,100196,,,141.9947,,262.9469,1611.08
內蒙古自治區,1998,44733,,,72.7992,,77.2889,1262.54
遼寧省,1998,218293,,,99.1905,,146.7696,3881.73
吉林省,1998,90653,,,28.3897,,61.5955,1577.05
黑龍江省,1998,117257,,,30.0125,,66.6918,2774.4
上海市,1998,208048,,,48.8869,,25.7677,3801.09
江蘇省,1998,309662,,,125.4592,,108.2426,7199.95
浙江省,1998,182610,,,64.5497,,105.5792,5052.62
安徽省,1998,133401,,,42.3537,,92.7361,2542.96
福建省,1998,94429,,,16.4953,,55.8421,3159.91
江西省,1998,95357,,,30.4642,,55.2695,1719.87
山東省,1998,234151,,,225.8884,,184.4239,7021.35
河南省,1998,185581,,,100.29,,161.4209,4308.24
湖北省,1998,238525,,,56.8845,,92.7251,3114.02
湖南省,1998,225505,,,72.2116,,132.3678,3025.53
廣東省,1998,434169,,,67.8778,,126.3728,8530.88
廣西壯族自治區,1998,158142,,,70.0867,,104.985,1911.3
海南省,1998,23029,,,2.0397,,4.8927,442.13
重慶市,1998,58446,,,68.0443,,49.5583,1602.38
四川省,1998,175412,,,140.7664,,249.6879,3474.09
貴州省,1998,63947,,,192.7946,,111.2641,858.39
雲南省,1998,72260,,,36.0084,,56.1717,1831.33
西藏自治區,1998,6459,,,0.1435,,2.2763,91.5
陝西省,1998,70323,,,66.0136,,88.5194,1458.4
甘肅省,1998,49527,,,38.3449,,39.0906,887.67
青海省,1998,13241,,,3.1315,,16.0216,220.92
寧夏回族自治區,1998,13639,,,21.5243,,17.5316,245.44
新疆維吾爾自治區,1998,47532,,,33.5571,,40.3445,1106.95
北京市,1999,82203,17.0163,,23.3487,,17.9022,2678.82
天津市,1999,36554,16.5616,,24.2423,,13.0472,1500.95
河北省,1999,160211,79.879,,132.6158,,182.129,4514.19
山西省,1999,92756,46.8692,,123.9496,,154.2333,1667.1
內蒙古自治區,1999,45798,23.9909,,69.0855,,71.8809,1379.31
遼寧省,1999,212281,72.6844,,93.7366,,126.9132,4171.69
吉林省,1999,87262,43.5744,,29.3748,,52.1456,1672.96
黑龍江省,1999,111700,54.4527,,29.4064,,64.4545,2866.3
上海市,1999,202839,34.9828,,40.3124,,17.6354,4188.73
江蘇省,1999,336033,67.4513,,97.9656,,89.7028,7697.82
浙江省,1999,192188,59.2907,,63.6421,,102.6195,5443.92
安徽省,1999,135005,46.3882,,40.9843,,80.5996,2712.34
福建省,1999,101565,31.9458,,19.0364,,47.41,3414.19
江西省,1999,95287,37.6404,,28.4301,,54.6816,1853.65
山東省,1999,224135,103.4085,,182.9752,,149.9736,7493.84
河南省,1999,215565,93.2911,,84.9747,,176.0689,4517.94
湖北省,1999,233461,70.7778,,55.3254,,81.9839,3229.29
湖南省,1999,214717,65.9436,,75.8393,,121.6791,3214.54
廣東省,1999,428762,84.9525,,69.4943,,129.146,9250.68
廣西壯族自治區,1999,165852,78.3096,,58.3456,,78.2189,1971.41
海南省,1999,22940,8.7806,,2.2391,,4.3066,476.67
重慶市,1999,132794,29.5461,,94.1126,,41.8593,1663.2
